Dagnr,DIENSTREGELPUNT_VAN,DIENSTREGELPUNT_NAAR,KLANTHINDERINMINUTEN,KLANTHINDERNAAM,BEWEGINGNUMMER,MONITORINGSTEGELOMSCHRIJVING,TOELICHTING,AANTAL_OPGEHEVEN_NS_TREINEN
6,Hsbdg,Hsbdgo,73,3. Hinder,9369,Defect materieel,,0
11,Lwd,Gs,41,3. Hinder,-1,Defect materieel,,0
10,Vk,Mt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
25,Asd,Hlm,60,3. Hinder,4895,Aanpassing DRGL op verzoek van de vervoerder,,2
8,Vlgr,Vl,150,3. Hinder,20086,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Bkh,Gvc,150,3. Hinder,83905,Aanpassing DRGL op verzoek van de vervoerder,,14
24,Zl,Gvc,60,3. Hinder,1860,Aanpassing DRGL op verzoek van de vervoerder,,2
20,Ddri,Erp,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
17,Vlgr,Rsdg,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Odzg,Hgl,60,3. Hinder,20366,Aanpassing DRGL op verzoek van de vervoerder,,0
3,Hvs,Alm,60,3. Hinder,14978,Aanpassing DRGL op verzoek van de vervoerder,,2
19,Amf,Amfs,60,3. Hinder,11643,Aanpassing DRGL op verzoek van de vervoerder,,2
24,Gn,Ws,60,3. Hinder,-1,Afwezigheid personeel,,0
30,Kfhan,Kfhn,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
20,Ut,Dgrw,60,3. Hinder,11405,Ongeplande buitendienststelling,,0
4,Krd,Mt,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
15,Wk,Stv,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
25,Ddr,Rtd,60,3. Hinder,2428,Aanpassing DRGL op verzoek van de vervoerder,,2
8,Bkh,Gvc,420,3. Hinder,83142,Aanpassing DRGL op verzoek van de vervoerder,,28
22,Alm,Asd,60,3. Hinder,2618,Aanpassing DRGL op verzoek van de vervoerder,,2
26,Tba,Tbi,105,3. Hinder,-1,Defect materieel,,2
18,Ledn,Gvc,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
21,Hrl,Lg,60,3. Hinder,-1,Defect materieel,,0
25,Brvalw,Brvalo,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
30,Asdta,Sgra,65,3. Hinder,-1,Defect materieel,,0
5,Amf,Amfs,60,3. Hinder,11765,Afwezigheid personeel,,2
12,Rsdg,Rsd,60,3. Hinder,2565,Defect materieel,,2
25,Lutdsm,Emn,90,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
27,Bkh,Gvc,180,3. Hinder,83740,Aanpassing DRGL op verzoek van de vervoerder,,11
30,Hgl,Odzg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
21,Asd,Amf,120,3. Hinder,1533,Defect materieel,,4
22,Ht,Nm,60,3. Hinder,3654,Aanpassing DRGL op verzoek van de vervoerder,,2
14,Aml,Mrb,90,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Hrl,Std,60,3. Hinder,3946,Aanpassing DRGL op verzoek van de vervoerder,,2
13,Rtd,Ddr,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
20,Asd,Hlm,60,3. Hinder,89343,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Shl,Hfdo,120,3. Hinder,71648,Herplanning (materieel niet of laat beschikbaar),,8
12,Hang,Hrl,420,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Utvr,Ut,63,3. Hinder,303530,Conflicten/aanpassingen Dienstregeling,,0
13,Rsd,Vs,60,3. Hinder,2356,Aanpassing DRGL op verzoek van de vervoerder,,2
23,Ehv,Btl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
20,Rm,Mbt,43,3. Hinder,-1,Defect materieel,,0
29,Zp,Ah,60,3. Hinder,7654,Defect materieel,,2
10,Zl,Hno,120,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
29,Utg,Ass,60,3. Hinder,704083,Herplanning (materieel niet of laat beschikbaar),,2
27,Ut,Tl,60,3. Hinder,6725,Aanpassing DRGL op verzoek van de vervoerder,,2
4,Ht,Ht,168,3. Hinder,300857,Afwezigheid personeel,,5
6,Gvm,Gvc,60,3. Hinder,2181,Aanpassing DRGL op verzoek van de vervoerder,,2
14,Utg,Wm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
22,Btl,Ddr,150,3. Hinder,6438,Aanpassing DRGL op verzoek van de vervoerder,,5
26,Hsbda,Hszha,464,3. Hinder,1158,Defect materieel,defecte stra,16
29,Rtd,Asdz,60,3. Hinder,947,Conflicten/aanpassingen Dienstregeling,Trein op verzoek VLC gekeerd in Rtd ivm werkzaamheden asd.,4
18,Asdl,Asra,177,3. Hinder,4662,Defect materieel,ASDL-AEG: def mat tr 4662 / Spoorweb-id: 993571,4
20,Hgl,Hglo,540,3. Hinder,20386,Afwezigheid personeel,HGL-ODZ: hinder log probleem / Spoorweb-id: 994302,0
29,Bd,Gz,43,3. Hinder,1161,Defect materieel,BD: def mat tr 1161 / Spoorweb-id: 998392,0
27,Rtd,Wiltn,64,3. Hinder,5263,Defect materieel,"technische problemen, trein uiteindelijk opgeheven en afgerangeerd",1
27,Dtcp,Dt,55,3. Hinder,1154,Defect materieel,deurproblemen,1
28,Lw,Grs,59,3. Hinder,-2,Beveiligingsinstallaties,"sectiestoring sectie LW$162BT sp60, tijdelijk functieherstel",0
18,Hde,Ns,58,3. Hinder,626,STS passage / Bijna Aanrijding,persoon op het perron en opgehaald door de politie,0
24,Aeg,Asdl,2135,2. Veel hinder,-2,Spoor of wissels,AEG-ASDL: def bvl / Spoorweb-id: 995718,72
1,Rtd,Gvc,60,3. Hinder,1134,Defect materieel,Trein 1134 telefonisch door vervoerder opgeheven ivm defect aan het materieel.,3
19,Wl,Did,170,3. Hinder,-2,Spoor of wissels,WL: sectie sto Sec-201T / Spoorweb-id: 993663,0
19,Ktr,Tl,223,3. Hinder,31150,Aanrijding,TL-KTR: aanr pers tr 31150 / Spoorweb-id: 993920,0
2,Hshfdo,Hshmdo,124,3. Hinder,-2,Spoor of wissels,wissel 2155 spontaan in storing,1
26,Ps,Bott,101,3. Hinder,-2,Spoor of wissels,PS: sectie sto / Spoorweb-id: 997016,0
4,Std,Srn,1196,2. Veel hinder,2974,Aanrijding,STD-SRN: aanr pers tr 2974 / Spoorweb-id: 987786,28
2,ONB,Ddv,337,3. Hinder,-2,STS passage / Bijna Aanrijding,ZL-DDV: hinder pers op sp tr 567 / Spoorweb-id: 986890,11
13,Ampo,Almmo,42,3. Hinder,2652,STS passage / Bijna Aanrijding,suicidaal pers,0
19,Bgn,Rb,60,3. Hinder,-2,Spoor of wissels,BGN-RB: defect sp / Spoorweb-id: 993824THV km 26.3 meld MCN 2230 een knik in het spoor.,2
25,Rlb,Hsbrdo,576,3. Hinder,-2,Spoor of wissels,Opgegeven treinen omgehangen naar oorzaak 8350953 en oorzaak nogmaals aangeboden.,11
25,Ow,O,275,3. Hinder,-2,Spoor of wissels,OSS: wl sto Wl-7 A / Spoorweb-id: 996339,8
28,Onz,Asn,120,3. Hinder,-2,Spoor of wissels,"ONZ-ASN: defect sp Sp-PF / Spoorweb-id: 997912LWB meldt: 14:08 staken EI6, baanligging is goed. mcn merken overgang nieuwe spoorstaaf - oude spoorstaaf. wordt meegenomen (slijpen) met regulier onderhoud",4
6,Shl,Asra,4765,1. Zeer veel hinder,-2,Energievoorziening (bovenleiding),"SHL: def bvl / Spoorweb-id: 988403Bvl groep 2845 spontaan uitgevallenSp. 102, 111, RA versperd",250
27,Kv,Ndb,174,3. Hinder,5817,Defect materieel,NDB: def mat tr 5817 / Spoorweb-id: 997314,3
1,Zvt,Hlm,2610,1. Zeer veel hinder,15472,Aanpassing DRGL op verzoek van de vervoerder,NSR-TdK,87
17,Dl,Omn,60,3. Hinder,-2,Beveiligingsinstallaties,Sectiestoring tgv kabels trekken. ,0
5,Zha,Rlb,195,3. Hinder,1146,Aanpassing DRGL op verzoek van de vervoerder,hoort bij wsl stroring rtd-bd lw2355 sw dossier 988051,3
5,Tb,Rtd,40,3. Hinder,1152,Herplanning (materieel niet of laat beschikbaar),IVM vollopen Ehv worden 1100 gekeerd op Tb. Op verzoek van Dvl Ehv,1
8,Nh,Gln,192,3. Hinder,703958,Invloed van derden op infra,HRL-STD: smeulende biels Ovw-3.6 / Spoorweb-id: 989426Betrof overpad 4.0 volgens Trdl,2
27,Asdl,Aeg,457,3. Hinder,-2,Spoor of wissels,AEG-ASDL: defect sp / Spoorweb-id: 997483,18
5,Efd,Lr,189,3. Hinder,-2,Energievoorziening (bovenleiding),ZP: sectie sto Sec-2AKT / Spoorweb-id: 988031,0
27,Shl,Asra,90,3. Hinder,1007,Meetfout / Onduidelijk systeemgedrag,Timestamp ASRA ri ASDL werkt niet,0
20,Ohze,Hze,87,3. Hinder,6474,STS passage / Bijna Aanrijding,"mcn meldt persoon langs de baan, hc afgestapt en naar deze persoon toe",3
10,Hmh,Hm,150,3. Hinder,4451,Defect materieel,DN: def mat tr 4460 / Spoorweb-id: 990150,5
17,Nvp,Rvbr,1371,2. Veel hinder,-2,Spoor of wissels,defecte kraagbout ,48
20,Apn,Apn,103,3. Hinder,-2,Conflicten/aanpassingen Dienstregeling,Onderzoek door brugonderhoud geeft aan dat er sprake is van een bedienfout van de brugwachter.,2
26,Std,Gln,311,3. Hinder,-2,Spoor of wissels,TOBS sectie STD$213T,6
13,Bda,Bdpb,40,3. Hinder,88854,STS passage / Bijna Aanrijding,BD-ZHA: hinder vtg op sp / Spoorweb-id: 991226Thv 7.5 - 7.4 hert langs het spoor,0
19,Rhn,Vndc,480,3. Hinder,-2,Spoor of wissels,Storing te Rhenen,15
2,Ledn,Vkbr,50,3. Hinder,2238,Invloed van derden op infra,persoon langs het baan,0
12,Vl,Br,53,3. Hinder,-2,STS passage / Bijna Aanrijding,VL: ass hulpdst / Spoorweb-id: 990914,0
27,Mmlh,Nmh,233,3. Hinder,-2,STS passage / Bijna Aanrijding,mcn 32246 meldt persoon langs de baantvk gestaakt op last van de AL,0
2,Hil,Had,60,3. Hinder,2223,(problemen met) Reizigers,HLM-LIS: reizigers gedrag tr 2223 / Spoorweb-id: 986649,2
27,Htnc,Htnc,60,3. Hinder,6062,(problemen met) Reizigers,lastige dame,0
7,Utvr,Ut,95,3. Hinder,3768,STS passage / Bijna Aanrijding,UT-UTZA: hinder pers op sp / Spoorweb-id: 989193Su‹cidaal persoon tussen UTZA en Utrecht centraal. Liep vlakbij 3768,0
27,Ed,Klp,73,3. Hinder,-2,Spoor of wissels,uitval bovenleidingspanning,0
3,Dv,Dv,206,3. Hinder,3638,Spoor of wissels,"opnieuw tobs met rijrichting na treinbeweging, nu naar Dvovw 48.3 en 49.1 gestoord",6
25,Hm,Hmh,325,3. Hinder,-2,Spoor of wissels,EHV-HM: sectie sto Sec-642B/CT / Spoorweb-id: 996598Hierbij ook overweg 40.3 in storing.,10
24,Akm,Brdl,315,3. Hinder,666,STS passage / Bijna Aanrijding,AKM-HR: STS Passage geen gevaarz tr 666 / Spoorweb-id: 995955Mcn 666 belde met de melding van een STS passage. Het brugsein 744 viel af naar rood en de mcn zette een snelremming in en kwam na het sein tot stilstand.,9
25,Almmo,Ampo,42,3. Hinder,4369,STS passage / Bijna Aanrijding,Melding van mcn 4369: vrouw met koffer in de ballast bij station Almere Poort. Machinist heeft vrouw aangesproken. European Instruction 6 met terugkoppeling. Niemand meer aangetroffen.,0
16,Mpa,Swk,43,3. Hinder,1823,Defect materieel,MP-SWK: def mat tr 1823 / Spoorweb-id: 992519,0
26,Zlw,Zha,133,3. Hinder,-2,Spoor of wissels,Spontane (vaste)  sectiestoring sectie 263BT & 262BT. 2e RVO nr. 71097551,4
26,Apn,Ztwo,1638,2. Veel hinder,-2,Spoor of wissels,ZTWO-APN: sectie sto Sec-17-23 CT / Spoorweb-id: 996939,53
24,Bmr,Vlb,576,3. Hinder,-2,Spoor of wissels,VLB-BMR: sectie sto / Spoorweb-id: 995920,0
21,Ama,Amf,807,2. Veel hinder,11732,Defect materieel,11732 in wisselstraat 103-6b tot stilstand.En OCCR kwam ondanks advies van vakmensen met Waardeloos Prutplan. ,8
16,Gnl,Hrn,40,3. Hinder,568,Defect materieel,ONN: def mat tr 568 / Spoorweb-id: 992651,0
14,Zpta,Spa,100,3. Hinder,3679,Aanrijding,DV-ZP: aanr obj tr 3679 / Spoorweb-id: 992018keien op ovw 32.3,4
3,Ht,Vga,90,3. Hinder,255,STS passage / Bijna Aanrijding,mcn 255 meldt boom (bijna) tegen bovenleiding,3
3,Bkl,Bkla,116,3. Hinder,402,STS passage / Bijna Aanrijding,persoon langs de baan zonder hesje ,0
27,Hgl,Odzg,300,3. Hinder,20389,Afwezigheid personeel,Geen personeel,0
20,Gr,Bhdv,290,3. Hinder,7158,Defect materieel,Defect te Gr.,0
14,Kfhz,Vlgr,195,3. Hinder,40119,Vertraging veroorzaakt door andere IM / Terminal,uitloop Wzh Em,
15,Sknd,Mg,306,3. Hinder,-2,Spoor of wissels,aangepast,0
10,Tbu,Tb,261,3. Hinder,-2,Spoor of wissels,TBU-TB: defect sp / Spoorweb-id: 990251,0
21,Ass,Hwzb,42,3. Hinder,5457,STS passage / Bijna Aanrijding,Suicidale vrouw op HLMS. HW-HLM: hinder pers op sp / Spoorweb-id: 994750,1
6,Tbu,Tbr,57,3. Hinder,46712,Spoor of wissels,lijmlas geeft een klap,0
20,Rta,Rtngo,355,3. Hinder,2860,(problemen met) Reizigers,Vechtpartij in trein,10
6,Mbga,Ampo,64,3. Hinder,4962,Defect materieel,MBGA-ALMMO: def mat tr 4962 / Spoorweb-id: 988712Deurproblemen,0
14,Vama,Hgv,188,3. Hinder,564,STS passage / Bijna Aanrijding,Mcn meldt vrouw met blond haar in het spoor die 5 meter voor de trein uit het spoor stapt. HC gaat achter de persoon aan.,2
16,Klp,Har,131,3. Hinder,3154,(problemen met) Reizigers,mishandeling HC door reizigers,5
30,Srn,Std,1360,2. Veel hinder,2921,Aanrijding,SRN-STD: aanr pers tr 2921 / Spoorweb-id: 998597,31
11,Hstom,Hstdk,135,3. Hinder,9256,Defect materieel,problemen met stroomafnemer,1
9,Tbr,Tbu,134,3. Hinder,-2,STS passage / Bijna Aanrijding,Suicidaal persoon.,4
18,Avat,Amf,60,3. Hinder,5822,Defect materieel,5822 op Avat moest een reset doen. 5821 gekeerd op Amf als de 5822.,2
26,Ut,Gd,60,3. Hinder,2846,Beveiligingsinstallaties,WD: infra omg / Spoorweb-id: 996904 - EBS moest gereset worden.,2
3,Rtngw,Rtngo,105,3. Hinder,2859,Defect materieel,geen tractie.,3
13,Lek,Cl,300,3. Hinder,-2,Spoor of wissels,onregelmatigheid aan de baan,10
12,Rvbr,Ssh,2614,1. Zeer veel hinder,-2,Spoor of wissels,HFD-LEDN: defect sp / Spoorweb-id: 990944,87
14,Dv,Dv,474,3. Hinder,301681,Aanrijding,MCH 1681 heeft een persoon aangereden thv 9.0 op het AD spoor. Trein is tot stilstand gekomen thv 9.6 ,13
1,Zlw,Zvb,75,3. Hinder,2228,Spoor of wissels,ZLW: defect sp / Spoorweb-id: 9863652 knikken gemeld door 2228. Thv 14.8 op het emplacement bij wissel 337B van 901 naar ZA (rvo 71086366) en net buiten het emplacement 1.0 op ZA spoor (rvo 71086367)Na quickscan storing thv 14.8 een SB80 ivm hoogte-afwijking. Ze willen graag buiten dienst voor herstel voor een uur. ,2
4,Hil,Had,63,3. Hinder,2226,Storing overwegen,"Er stond een auto op de ovw 27.5, hiervoor alarmeerde de 2226. In eerste instantie niet duidelijk wat er precies an de hand was. HLM-LIS: ovw sto Ovw-27.5 / Spoorweb-id: 987539",0
5,Wt,Ht,120,3. Hinder,852,Conflicten/aanpassingen Dienstregeling,"Ivm postuitval Ut, loop nu Ehv vol, op verzoek dvl Ehv treinen keren te Wt, daar weinig spoorcapaciteit",4
18,Asd,Rtd,60,3. Hinder,1022,Werkproces Treindienstleider,"niet verklaarbaar, storing monitoring",1
5,Rd,Eem,65,3. Hinder,37651,Spoor of wissels,sein storing,0
11,Dtcp,Dt,57,3. Hinder,1146,Defect materieel,deursluiting,0
21,Hgl,Odzg,150,3. Hinder,20389,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Odzg,Hgl,240,3. Hinder,20386,Aanpassing DRGL op verzoek van de vervoerder,,0
25,Tl,Ut,60,3. Hinder,6774,Aanpassing DRGL op verzoek van de vervoerder,,2
7,Amfs,Amf,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
27,Nm,Ah,60,3. Hinder,3142,Aanpassing DRGL op verzoek van de vervoerder,,2
18,Beto,Lpe,47,3. Hinder,-1,Defect materieel,,0
7,Whz,Kfhn,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
8,Hlm,Zvt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
3,Bet,Beto,123,3. Hinder,-2,Ongeplande buitendienststelling,,4
30,Rm,Mt,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
6,Dv,Zl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
28,Vl,Vlgr,60,3. Hinder,20081,Afwezigheid personeel,,0
30,Mvtw,Mvtnwa,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Zp,Ww,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
30,Mt,Mtr,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Amfs,Amf,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
12,Odzg,Hgl,60,3. Hinder,20366,Aanpassing DRGL op verzoek van de vervoerder,,0
22,Vl,Vlgr,108,3. Hinder,-1,Gereedmaken trein/ geen wagenlijst,,0
20,Ut,Utg,54,3. Hinder,7420,Defect materieel,,1
27,Vl,Vl,60,3. Hinder,-1,Gereedmaken trein/ geen wagenlijst,,0
28,Ztmo,Ztm,84,3. Hinder,6954,Defect materieel,,2
5,Ddr,Rtd,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
27,Alm,Almo,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
11,Std,Hrl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
19,Asd,Sgbr,148,3. Hinder,89981,Energievoorziening (bovenleiding),,1
10,Amfs,Amf,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
27,Mrb,Hdb,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
29,Asdz,Alm,60,3. Hinder,2476,Aanpassing DRGL op verzoek van de vervoerder,,4
7,Odz,Hgl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
8,Hrl,Std,150,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
19,Rsdg,Rsd,80,3. Hinder,-1,Defect materieel,,2
1,Mt,Hrl,90,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
22,Zvg,Rsdg,150,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
5,Amf,Hvs,150,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
28,Swk,Rtd,60,3. Hinder,646,Aanpassing DRGL op verzoek van de vervoerder,,2
10,Wm,Utg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
25,Vk,Mt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
26,Mt,Hrl,150,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
3,Hrl,Std,60,3. Hinder,3934,"Overschrijden vertrektijd, rijweg ingesteld",,2
7,Vl,Vl,55,3. Hinder,-1,Gereedmaken trein/ geen wagenlijst,,0
11,Utg,Asd,60,3. Hinder,7469,Aanpassing DRGL op verzoek van de vervoerder,,2
25,Odzg,Hgl,60,3. Hinder,20380,Defect materieel,,0
5,Asd,Asd,227,3. Hinder,9167,Werkproces rijdend personeel,,15
11,Asdzo,Skbr,40,3. Hinder,-1,Vertraging trein-trein,,0
5,Asd,Mt,60,3. Hinder,2981,Aanpassing DRGL op verzoek van de vervoerder,,2
28,Hrl,Hang,60,3. Hinder,-1,Defect materieel,,0
20,Ah,Shl,60,3. Hinder,3150,Aanpassing DRGL op verzoek van de vervoerder,,2
19,Gv,Gvc,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
5,Ehv,Wt,90,3. Hinder,6451,Aanpassing DRGL op verzoek van de vervoerder,,1
26,Ah,Nm,90,3. Hinder,6667,Aanpassing DRGL op verzoek van de vervoerder,,3
18,Ehv,Btl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
28,Wspl,Wd,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
11,Vlgr,Vl,60,3. Hinder,20090,Afwezigheid personeel,,0
12,Dz,Apg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
23,Gz,Tbr,67,3. Hinder,6479,Defect materieel,,2
29,Gn,Vdm,60,3. Hinder,-1,Defect materieel,,0
24,Wad,Wad,57,3. Hinder,8758,Defect materieel,,0
12,Wc,Nm,60,3. Hinder,7641,Defect materieel,,2
11,Rv,Rm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
5,Hfd,Hfd,1024,2. Veel hinder,75728,Spoor of wissels,,17
21,Lg,ONB,47,3. Hinder,-1,Defect materieel,,0
24,Vl,Vlgr,60,3. Hinder,20093,Import vertraging buitenland,,0
9,Asd,Amf,90,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,3
5,Hfd,Hfdm,120,3. Hinder,1018,Defect materieel,,5
13,Hrl,Hang,90,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
27,Hwd,Hn,60,3. Hinder,4875,Aanpassing DRGL op verzoek van de vervoerder,,2
26,Ehv,Ehv,43,3. Hinder,6462,Defect materieel,,1
4,Brgro,Brmet,43,3. Hinder,40233,Spoor of wissels,,0
4,Btl,Brdv,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
17,Es,Zl,60,3. Hinder,7924,Defect materieel,,0
17,Hgl,Es,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
17,Hgl,Odzg,90,3. Hinder,20367,Afwezigheid personeel,,0
25,Vl,Vlgr,180,3. Hinder,20083,Aanpassing DRGL op verzoek van de vervoerder,,0
16,Bsk,Bsk,65,3. Hinder,8651,Defect materieel,,2
25,Mt,Hrl,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
20,Asn,Gn,60,3. Hinder,6215,Aanpassing DRGL op verzoek van de vervoerder,,2
20,Eghm,Han,42,3. Hinder,-1,Defect materieel,,0
24,Wc,Nm,60,3. Hinder,7659,Aanpassing DRGL op verzoek van de vervoerder,,2
24,Vlgr,Vl,90,3. Hinder,20094,Aanpassing DRGL op verzoek van de vervoerder,,0
23,Asd,Utg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
6,Wm,Utg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
24,Hlm,Zvt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
8,Vlgr,Vl,337,3. Hinder,-1,Defect materieel,,0
20,Zvt,Hlm,2610,1. Zeer veel hinder,25476,Aanpassing DRGL op verzoek van de vervoerder,,87
11,Vl,Vlgr,60,3. Hinder,20089,Afwezigheid personeel,,0
27,Rtd,Ddr,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
26,Vlk,Krg,90,3. Hinder,-1,Defect materieel,,2
10,Shl,Asdz,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,4
24,Vl,Vlgr,60,3. Hinder,20071,Vertraging veroorzaakt door andere IM / Terminal,,0
19,Rsdg,Rsd,60,3. Hinder,2557,Aanpassing DRGL op verzoek van de vervoerder,,2
24,Hlm,Zvt,120,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,4
5,Bot,Ps,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
17,Std,Hrl,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
25,Hn,Hnk,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,4
10,Lg,ONB,95,3. Hinder,-1,Defect materieel,,0
14,Nm,Wc,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
5,Kfhz,Sloe,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
6,Dvd,Dvaw,1920,2. Veel hinder,307457,Aanrijding,DVD-ASDM: aanr pers tr 7448 / Spoorweb-id: 988607,61
15,Zlsh,Kpn,120,3. Hinder,-2,Invloed van derden op infra,ZL-KPN: hinder zwaan op sp tr 8527 / Spoorweb-id: 992186,0
17,Aml,Amri,140,3. Hinder,41713,STS passage / Bijna Aanrijding,persoon op de overweg. KLPD heeft de persoon meegenomen.,2
10,Kfhn,Kfhz,69,3. Hinder,-2,Energievoorziening (bovenleiding),KFH_270-289: stroom sto / Spoorweb-id: 989976,0
22,Hd,Eml,106,3. Hinder,-2,Aanrijding,HD-PT: aanr obj tr 5674 / Spoorweb-id: 995130,0
19,Hvs,Brn,113,3. Hinder,1661,Spoor of wissels,BRN: sectie sto Ovw-36.4 / Spoorweb-id: 993939,2
24,Ztwo,Ztww,101,3. Hinder,8960,Spoor of wissels,sectie storing en overweg 26.8 in de storing ,3
11,Htnc,Lek,253,3. Hinder,6785,Defect materieel,Probleem software.,11
25,Dvaw,Rai,42,3. Hinder,4371,STS passage / Bijna Aanrijding,Suicidaal meisje,0
25,Zl,Ddv,105,3. Hinder,523,Defect materieel,ZL: def mat tr 523 / Spoorweb-id: 996218,3
16,Hlm,Asd,60,3. Hinder,5474,(problemen met) Reizigers,lastige reiziger,2
13,Ut,Ut,85,3. Hinder,3177,STS passage / Bijna Aanrijding,UT-UTZA: hinder pers op sp / Spoorweb-id: 991582,0
30,Asdm,Asdmw,623,3. Hinder,-2,Aanrijding,ASDM: aanr of aanv brug / Spoorweb-id: 998817,22
26,Rsd,Bd,150,3. Hinder,3658,Ongeplande buitendienststelling,RSD: sectie sto Sec-85BT / Spoorweb-id: 996906,5
13,Hgl,Odzg,60,3. Hinder,20399,Aanpassing DRGL op verzoek van de vervoerder,dagelijkse ritten komen te vervallen,0
4,Rtst,Rlb,236,3. Hinder,-2,Spoor of wissels,scheur in het spoor km 209.1Op verzoek MKS E.I 5 max 40km per ur ,0
9,Hsghtn,Hsghtz,181,3. Hinder,9916,Defect materieel,zie terugkoppeling RB : mat storing,2
1,Rai,Dvaw,250,3. Hinder,-2,STS passage / Bijna Aanrijding,sucidaal persoon,1
25,Dv,Dv,61,3. Hinder,3693,Conflicten/aanpassingen Dienstregeling,uitvoeren tad 1685,0
19,Hsbrdo,Rlb,1347,2. Veel hinder,-2,Gebouwen/kunstwerken,overkapping brd in storing en itmc krijgt verhinderingen er niet af,31
11,Zl,Hno,387,3. Hinder,7959,Spoor of wissels,ATB storing t.h.v. km 1.5 van 80 naar 40,0
6,Nm,Wc,60,3. Hinder,7622,Defect materieel,7623,2
23,Gdg,Odw,102,3. Hinder,6929,STS passage / Bijna Aanrijding,"vermoedelijk aanrijding object, object bleek een vogel ",0
